Name,Slug,City,State,Rating,Reviews,Website,Email,Phone,Badge URL,Listing URL,Status
"Pulse Padel Hub",pulse-padel-hub,"North Miami",FL,5.0,20,https://www.pulsepadelhub.com/,,(786) 381-8163,https://padelfinder.com/badge/pulse-padel-hub,https://padelfinder.com/courts/pulse-padel-hub,verified
"PATL",patl,"Atlanta",GA,5.0,20,https://playpatl.com/atlanta-chamblee/,,(470) 421-2402,https://padelfinder.com/badge/patl,https://padelfinder.com/courts/patl,verified
"Northwood Padel",northwood-padel,"Easton",PA,5.0,1,https://northwoodrfc.com/,,(610) 798-6079,https://padelfinder.com/badge/northwood-padel,https://padelfinder.com/courts/northwood-padel,verified
"Padel Haus Atlanta",padel-haus-atlanta,"Atlanta",GA,5.0,12,https://www.padel.haus/atlanta,,(678) 919-2312,https://padelfinder.com/badge/padel-haus-atlanta,https://padelfinder.com/courts/padel-haus-atlanta,verified
"Sunset Padel",sunset-padel,"Miami Beach",FL,5.0,10,https://sunsetpadel.com/,,(305) 432-7807,https://padelfinder.com/badge/sunset-padel,https://padelfinder.com/courts/sunset-padel,verified
"Glassbox Padel Club",glassbox-padel-club,"College Park",MD,5.0,10,https://www.glassboxpadel.com/,,,https://padelfinder.com/badge/glassbox-padel-club,https://padelfinder.com/courts/glassbox-padel-club,verified
"Smash Padel",smash-padel,"Boulder",CO,5.0,10,https://www.smashpadelusa.com/,,(720) 340-5110,https://padelfinder.com/badge/smash-padel,https://padelfinder.com/courts/smash-padel,verified
"NorthPoint Padel",northpoint-padel,"Westfield",IN,5.0,3,https://www.northpointpadel.com/,,,https://padelfinder.com/badge/northpoint-padel,https://padelfinder.com/courts/northpoint-padel,verified
"Mink Padel",mink-padel,"New York",NY,5.0,20,https://mink.playbypoint.com/,,(828) 888-0242,https://padelfinder.com/badge/mink-padel,https://padelfinder.com/courts/mink-padel,verified
"TEMPO Padel & Pickleball Club",tempo-padel-pickleball-club,"Houston",TX,5.0,10,https://tempo.club/,,(713) 570-6716,https://padelfinder.com/badge/tempo-padel-pickleball-club,https://padelfinder.com/courts/tempo-padel-pickleball-club,verified
"Padel Square",padel-square,"Garfield Heights",OH,5.0,2,https://www.padel-square.com/,,(216) 202-9735,https://padelfinder.com/badge/padel-square,https://padelfinder.com/courts/padel-square,verified
"Sensa Padel Boston",sensa-padel-boston,"Boston",MA,5.0,10,https://sensapadel.com/,,(617) 675-2004,https://padelfinder.com/badge/sensa-padel-boston,https://padelfinder.com/courts/sensa-padel-boston,verified
